customer_id,first_name,last_name,gender,date_of_birth,age,email,phone_number,state,city,zip_code_group,income_band,credit_tier,marital_status,household_size,customer_join_date,tenure_months,customer_segment
CUST00001,Mark,Johnson,M,1965-12-24,60.0,jeffreydoyle@example.net,00158189600133890,California,Sacramento,293,middle,excellent,married,1,2023-05-17,31.0,standard
CUST00002,Jerry,Ramirez,M,2006-06-03,19.0,,942335116155940,Florida,Miami,501,lower_middle,poor,divorced,4,2025-10-17,2.0,standard
CUST00003,Blake,Carter,M,1990-01-16,35.0,barbara10@example.net,4417316475,Pennsylvania,Erie,470,low,excellent,married,1,2022-03-07,45.0,budget
CUST00004,Daniel,Adams,M,1993-10-12,32.0,lynchgeorge@example.net,5272648350,Texas,Dallas,418,lower_middle,good,married,2,2023-04-22,32.0,standard
CUST00005,James,Jones,M,1985-11-11,40.0,jason76@example.net,7245238849696,Ohio,Cleveland,186,middle,fair,single,2,2025-08-23,4.0,standard
CUST00006,Katrina,Davis,F,1950-06-22,75.0,hernandezernest@example.net,791366978480184,New York,Rochester,389,,fair,married,1,2025-04-21,8.0,standard
CUST00007,Jessica,Chavez,F,1996-05-27,29.0,teresa28@example.org,194829325288095,California,San Diego,151,middle,fair,single,6,2024-05-15,19.0,high_value
CUST00008,Tanya,Koch,F,2003-11-11,22.0,john39@example.org,6718822782,Illinois,Springfield,282,upper_middle,good,single,2,2023-03-17,33.0,standard
CUST00009,Tanya,Campos,F,1994-03-18,31.0,jenniferross@example.net,155758713315098,Texas,Houston,14,low,good,single,2,2024-02-18,22.0,premium
CUST00010,Benjamin,Welch,M,1962-11-05,63.0,whiteheadmichele@example.org,334373829973763,Georgia,Augusta,868,middle,good,married,1,2025-05-21,7.0,standard
CUST00011,Jessica,Henderson,F,1979-01-17,46.0,nuneztracey@example.org,4658133387,California,San Jose,245,,very_good,divorced,3,2025-01-03,11.0,premium
CUST00012,Donald,Wright,M,1952-05-24,73.0,jmorton@example.org,5808132677,Arizona,Phoenix,81,high,poor,single,2,2025-02-04,10.0,budget
CUST00013,Carmen,Smith,F,1973-10-31,52.0,sara74@example.com,0012872234309805,Pennsylvania,Allentown,770,middle,fair,married,2,2025-03-28,9.0,standard
