customer_id,first_name,last_name,gender,date_of_birth,age,email,phone_number,state,city,zip_code_group,income_band,credit_tier,marital_status,household_size,customer_join_date,tenure_months,customer_segment
CUST00001,Mark,Johnson,M,1965-12-24,60,jeffreydoyle@example.net,001-581-896-0013x3890,California,Sacramento,293,middle,excellent,married,1,2023-05-17,31,standard
CUST00002,Jerry,Ramirez,M,2006-06-03,19,,942-335-1161x55940,Florida,Miami,501,lower_middle,poor,divorced,4,2025-10-17,2,standard
CUST00003,Blake,Carter,M,1990-01-16,35,barbara10@example.net,441.731.6475,Pennsylvania,Erie,470,low,excellent,married,1,2022-03-07,45,budget
CUST00004,Daniel,Adams,M,1993-10-12,32,lynchgeorge@example.net,527.264.8350,Texas,Dallas,418,lower_middle,good,married,2,2023-04-22,32,standard
CUST00005,James,Jones,M,1985-11-11,40,jason76@example.net,724.523.8849x696,Ohio,Cleveland,186,middle,fair,single,2,2025-08-23,4,standard
CUST00006,Katrina,Davis,F,1950-06-22,75,hernandezernest@example.net,(791)366-9784x80184,New York,rochester,389,,fair,married,1,2025-04-21,8,standard
CUST00007,Jessica,Chavez,F,1996-05-27,29,teresa28@example.org,+1-948-293-2528x8095,California,San Diego ,151,middle,fair,single,6,2024-05-15,19,high_value
CUST00008,Tanya,Koch,F,2003-11-11,22,john39@example.org,671-882-2782,Illinois,Springfield,282,upper_middle,good,single,2,2023-03-17,33,standard
CUST00009,Tanya,Campos,F,1994-03-18,31,jenniferross@example.net,+15575871331x5098,Texas,Houston,014,low,good,single,2,2024-02-18,22,premium
CUST00010,Benjamin,Welch,M,1962-11-05,63,whiteheadmichele@example.org,334.373.8299x73763,Georgia,Augusta,868,middle,good,married,1,2025-05-21,7,standard
CUST00011,Jessica,Henderson,F,1979-01-17,46,nuneztracey@example.org,4658133387,California,San Jose,245,,very_good,divorced,3,2025-01-03,11,premium
CUST00012,Donald,Wright,M,1952-05-24,73,jmorton@example.org,5808132677,Arizona,Phoenix,081,high,poor,single,2,2025-02-04,10,budget
CUST00013,Carmen,Smith,F,1973-10-31,52,sara74@example.com,001-287-223-4309x805,Pennsylvania,Allentown,770,middle,fair,married,2,2025-03-28,9,standard
CUST00014,John,Calhoun,M,1983-05-30,42,brianromero@example.org,291-336-1939,Texas, Houston,554,middle,fair,married,6,2025-09-16,3,budget
CUST00015,Matthew,Cunningham,M,1968-10-17,57,james53@example.com,(524)675-1079x9118,Illinois,CHICAGO,178,upper_middle,fair,single,4,2023-04-22,32,premium
CUST00016,Timothy,Ibarra,M,2007-02-06,18,mikemoore@example.net,001-449-680-8412x411,Arizona,Mesa,374,upper_middle,very_good,single,1,2024-07-17,17,standard
CUST00017,Lisa,Robbins,F,1961-02-13,64,william40@example.org,+1-264-300-5242x7868,Florida,Tampa,103,upper_middle,very_good,single,2,2023-12-29,24,budget
CUST00018,Tony,Vazquez,M,1957-05-29,68,davenportbrandi@example.org,(420)545-0533x15869,Illinois,Chicago,218,lower_middle,very_good,married,2,2025-06-01,6,premium
CUST00019,William,Cochran,M,2007-03-31,18,vjohnson@example.com,(534)221-6073x37543,Ohio,Cleveland,870,low,very_good,married,4,2022-12-01,36,standard
CUST00020,Cheryl,Murphy,F,2006-01-31,19,rasmussenjoshua@example.net,768.750.1429x40196,Arizona,Mesa,577,middle,good,single,1,2025-08-03,4,budget
CUST00021,Larry,Dixon,M,1973-06-24,52,jonathanfletcher@example.org,783.856.1595x14846,Georgia,ATLANTA,918,low,very_good,single,5,2023-04-15,32,standard
CUST00022,Edward,Martinez,M,1975-11-17,50,lbyrd@example.net,001-746-980-4436,Georgia,Athens,584,lower_middle,good,married,1,2023-07-03,29,budget
CUST00023,Jeremy,Lewis,M,1979-06-20,46,donnacampbell@example.net,+1-395-913-4332x0037,New York,Albany,548,,fair,divorced,3,2023-03-12,33,premium
CUST00024,Stacey,Johnston,F,1996-02-24,29,psnyder@example.org,+14019632870x8317,Arizona,Tempe,880,upper_middle,very_good,single,3,2022-10-20,38,premium
CUST00025,Kim,Hansen,F,1968-11-09,57,usalazar@example.net,(387)627-7434x87347,Florida,Orlando,312,upper_middle,excellent,single,1,2025-02-23,10,budget
CUST00026,Denise,Flores,F,1984-01-09,41,,(231)566-5876,Pennsylvania, Erie,555,middle,very_good,divorced,2,2025-04-10,8,budget
CUST00027,Jean,Carrillo,F,1994-08-06,31,gateskathy@example.com,805.946.6889x3734,Georgia,Savannah,043,middle,fair,single,5,2022-10-11,38,standard
CUST00028,Jasmine,Caldwell,F,2001-07-30,24,dramsey@example.org,+1-280-669-9016x272,Texas,Houston,501,lower_middle,good,married,6,2022-08-13,40,standard
CUST00029,Garrett,Gibson,M,1970-03-26,55,aramirez@example.com,270-580-5310,Florida,Jacksonville,266,high,fair,married,2,2025-05-06,7,standard
CUST00030,Ryan,Howell,M,1963-07-02,62,thomaswilson@example.org,645.829.9124x190,Arizona,Tempe,524,low,good,married,2,2025-05-05,7,budget
CUST00031,Teresa,Gonzalez,F,1987-07-23,38,curtisbarton@example.net,+1-819-905-8651x850,Ohio,Cincinnati,143,high,fair,single,6,2025-02-07,10,standard
CUST00032,Jeffrey,Cox,M,2007-12-09,18,bzimmerman@example.org,001-684-998-7769x4531,Texas, Austin,324,lower_middle,very_good,married,4,2025-08-05,4,budget
CUST00033,Nicole,Hudson,F,1992-09-25,33,frogers@example.com,(273)554-5494,Texas,Austin,117,,very_good,married,1,2024-06-09,18,standard
CUST00034,David,Russell,M,1985-01-16,40,hannahbrewer@example.com,701.843.6349x578,North Carolina,Charlotte,982,upper_middle,good,single,3,2023-06-24,30,budget
